Title ,Year ,Director ,Country,ASL ,RA ,POV ,INS ,BCU ,CU ,MCU ,MS ,MLS ,LS ,VLS
"Ronde, La ",1950,"Ophuls, Max ",FRA ,18,0,0,0,5,66,41,163,127,71,25
Rope ,1948,"Hitchcock, Alfred ",USA ,1000,0,0,5,5,56,126,144,116,55,2
Rose of Washington Square ,1939,"Ratoff, Gregory ",USA ,10.8,32,9,4,28,82,78,88,91,121,12
"Rose, The ",1979,Mark Rydell ,USA ,7.5,41,7,4,58,152,78,55,68,83,5
Rund um eine Million ,1933,"Neufeld, Max ",GER ,18,14,5,13,10,16,55,126,155,118,26
Sabotage ,1937,"Hitchcock, Alfred ",BRI ,7.5,31,19,18,63,87,104,96,64,79,8
Saboteur ,1942,"Hitchcock, Alfred ",USA ,7,35,22,12,29,90,74,74,90,114,28
Sailor be Good ,1933,"Cruze, James ",USA ,13.5,25,15,8,13,61,63,103,150,89,22
"Saint Strikes Back, The ",1939,"Farrow, John  ",USA ,8.4,27,7,9,55,135,90,66,107,32,15
Samson und Delila ,1922,"Korda, Alexander ",OST ,5.7,11,4,1,3,23,68,45,101,195,65
Sans lendemain ,1939,"Ophuls, Max ",FRA ,8,0,0,0,20,69,86,124,90,85,26
"Scarlet Empress, The ",1934,"Sternberg, Josef von ",USA ,10,0,0,0,45,101,74,66,91,89,35
Scherben ,1921,"Pick, Lupu ",GER ,16,0,0,0,60,9,55,90,104,159,23
"Schwarze Kugel, die ",1913,"Hofer, Franz ",GER ,16,0,0,16,25,17,51,85,123,191,8
"Secret Agent, The ",1936,"Hitchcock, Alfred ",BRI ,7.5,29,14,17,43,94,105,93,79,73,14
"Secret Beyond the Door, The ",1948,"Lang, Fritz ",USA ,10.5,0,0,0,15,24,85,132,118,119,6
Secret People ,1951,"Dickinson, Thorold ",BRI ,9,32,9,12,38,129,81,83,72,90,6
Sergeant Madden ,1939,"Sternberg, Josef von ",USA ,9,19,0,0,46,129,89,91,72,59,14
Shadow of a Doubt ,1943,"Hitchcock, Alfred ",USA ,9,37,11,8,24,101,107,83,100,78,8
Shadows ,1959,"Cassavetes, John ",USA ,7.1,31,1,1,122,182,78,50,46,22,0
Shanghai Express ,1932,"Sternberg, Josef von ",USA ,9.5,0,0,0,21,103,88,97,112,68,11
Siegfried ,1924,"Lang, Fritz ",GER ,7.5,0,0,0,7,31,34,38,84,280,26
"Signora di tutti, La ",1934,"Ophuls, Max ",ITA ,13,0,0,0,65,40,81,110,84,80,40
"Signora senza camelie, La ",1953,"Antonioni, Michelangelo ",ITA ,61,0,0,0,0,15,40,135,195,120,45
"Silence of the Lambs, The ",1990,"Demme, Jonathan ",USA ,6.4,41,13,15,215,115,51,45,30,32,11
"Sin of Martha Queed, The ",1921,"Dwan, Allan ",USA ,9.5,0,0,6,9,36,75,108,122,94,57
"Sixth Sense, The ",1999,"Shyamalam, M. Night ",USA ,8.6,57,21,15,91,135,93,59,59,60,2
"Skin Game, The ",1931,"Hitchcock, Alfred ",BRI ,18,9,7,12,28,78,50,60,136,125,22
SLC Punk! ,1999,"Merendino, James ",USA ,4.2,38,3,7,64,159,107,61,51,49,9
"Small Back Room, The ",1948,"Powell, M. & Pressburger, ",BRI ,8.9,31,6,9,80,173,68,60,56,61,1
Smouldering Fires ,1925,"Brown, Clarence ",USA ,7,24,0,9,32,61,36,161,99,78,33
Snow Falling on Cedars ,1999,"Hicks, Scott ",USA ,5.3,23,6,13,196,128,45,30,33,62,5
"So, You Won't Talk ",1935,"Beaudine, William ",BRI ,11,24,16,5,11,22,88,118,107,154,0
Some Like it Hot ,1959,"Wilder, Billy ",USA ,12,49,7,3,3,86,127,104,86,91,3
"Son of the Sheik, The ",1926,"Fitzmaurice, George ",USA ,4.5,0,0,2,21,80,98,76,36,145,44
"Spinnen, Die (1) ",1919,"Lang, Fritz ",GER ,7.5,6,0,0,5,36,45,64,98,227,27
"Spinnen, Die (2) ",1920,"Lang, Fritz ",GER ,10,9,0,0,28,66,34,47,161,148,15
Spione ,1928,"Lang, Fritz ",GER ,6,0,0,0,31,45,74,107,123,113,7
Spione am Werk ,1932,"Lamprecht, Gerhard ",GER ,7.8,18,11,27,12,12,26,40,115,195,89
"Spoilers, The ",1914,"Campbell, Colin ",USA ,13.5,0,0,3,5,9,12,54,295,118,5
Stage Fright ,1950,"Hitchcock, Alfred ",BRI ,10,51,19,6,24,129,131,70,64,76,6
Stardust Memories ,1980,"Allen, Woody ",USA ,16.2,26,14,7,103,131,61,47,44,83,31
Startrek ,1994,,USA ,4.6,40,1,1,46,274,53,39,60,28,1
Stella Dallas ,1925,"King, Henry ",USA ,3,18,0,5,22,57,110,109,70,103,29
Stella Maris ,1918,"Neilan, Marshall ",USA ,8,0,0,8,11,48,26,87,177,119,9
Strangers on a Train ,1951,"Hitchcock, Alfred ",USA ,6,51,18,9,44,116,114,59,65,87,16
"Suddenly, Last Summer ",1959,"Kazan, Elia ",USA ,8.9,41,3,3,25,99,128,116,88,44,1
"Sühne, die ",1918,Hanus ,GER ,22,0,0,2,0,10,7,20,168,296,0
"Sumpfblume, die ",1913,"Larsen, Viggo ",GER ,27.5,0,0,5,6,28,0,11,176,279,0
Sun-Up ,1925,"Goulding, Edmund ",USA ,7.5,14,0,7,5,37,71,151,101,126,7
Suspicion ,1942,"Hitchcock, Alfred ",USA ,8.5,42,16,12,38,107,130,89,58,62,16
"Talented Mr. Ripley, The ",1999,"Minghella, Anthony ",USA ,5,45,6,6,85,196,64,45,51,56,3
"Tausend Augen des Dr.Mabuse, Die ",1960,"Lang, Fritz ",GER ,10.5,0,0,0,31,72,87,116,88,95,11
"Tendre ennemie, La ",1936,"Ophuls, Max ",FRA ,11,0,0,0,12,46,58,119,90,108,66
"Testament des Dr. Mabuse, Das ",1933,"Lang, Fritz ",GER ,12,0,0,0,33,26,38,80,138,164,21
"Teufelskirche, die ",1919,"Mierendorff, Hans ",GER ,12.6,0,0,3,3,8,78,114,158,125,14
They Drive By Night ,1939,"Woods, Arthur ",BRI ,10,28,10,4,11,72,79,95,120,119,3
"Third Man, The ",1949,"Reed, Carol ",BRI ,5.2,35,11,9,21,141,97,64,55,119,3
"Third Round, The ",1925,"Morgan, Sidney ",BRI ,6,5,2,4,12,28,54,70,147,186,4
"Thirty-Nine Steps, The ",1935,"Hitchcock, Alfred ",BRI ,9,32,22,12,27,72,80,87,75,132,26
Thomas Graals Bästa Film ,1917,"Stiller, Mauritz ",SWE ,0,15,0,0,11,36,40,159,166,80,8
Three to Tango ,1999,"Santostefano, Damon ",USA ,3.7,61,5,6,83,189,102,42,47,31,6
Tiger Shark ,1932,"Hawks, Howard ",USA ,6.5,0,0,0,14,69,112,83,104,94,24
"Tiger von Eschnapur, Der ",1958,"Lang, Fritz ",GER ,9,0,0,0,2,43,57,71,100,208,21
Tigre Reale ,1916,"Pastrone, Giovanni ",ITA ,13,0,0,0,18,12,59,97,157,95,64
Tirol in Waffen ,1914,"Froelich, Carl ",GER ,27.8,0,0,0,0,0,0,13,141,347,0
To Catch a Thief ,1955,"Hitchcock, Alfred ",USA ,6.4,50,19,15,8,64,72,104,102,113,37
"Toilers, The ",1928,"Barker, Reginald ",USA ,7.2,7,5,8,15,29,79,91,143,134,9
Tol'able David ,1921,"King, Henry ",USA ,5,24,0,4,3,33,63,100,97,147,58
"Tourbillon de Paris, le ",1928,"Duvivier, Julien ",FRA ,6.8,19,7,14,37,73,62,57,89,130,52
Tourist Trap ,1979,David Schmoeller ,USA ,5.4,47,15,22,69,130,98,78,48,76,2
Tower of London ,1939,"Lee, Rowland V. ",USA ,6.6,19,2,4,21,76,70,93,91,142,8
Traffic in Souls ,1913,"Tucker, George Loane ",USA ,8,0,0,2,5,0,4,31,346,114,0
Trenck ,1932,"Paul, Heinz & Neubach, E. ",GER ,10.5,21,6,8,16,31,33,101,96,203,20
"Trouble With Harry, The ",1956,"Hitchcock, Alfred ",USA ,8.7,52,11,5,4,20,113,145,121,73,23
True Heart Susie ,1919,"Griffith, D.W. ",USA ,6,0,0,5,11,37,84,102,76,164,26
"Unbekannte Morgen, Das ",1923,"Korda, Alexander ",OST ,6.5,15,6,3,8,55,66,64,112,174,21
Und das Licht erloscht ,1914,"Bernhardt, Fritz ",GER ,25,0,0,8,0,7,0,7,239,171,75
Under the Greenwood Tree ,1929,"Lachman, Harry ",BRI ,15.3,17,12,8,34,37,54,69,121,157,27
Underworld ,1927,"Sternberg, Josef von ",USA ,5.5,0,0,6,58,90,89,97,61,81,24
Until They Get Me ,1917,"Borzage, Frank ",USA ,7.5,0,0,2,2,113,87,77,75,86,38
"Vagabond Queen, The ",1930,"Bolvary, Geza von ",BRI ,6,23,8,7,16,27,55,88,113,193,8
Varieté ,1925,"Dupont, E.A. ",GER ,9,19,0,0,41,76,78,88,60,96,59
Venus im Frack ,1927,"Land, Robert ",GER ,6.5,14,5,4,4,46,73,77,152,145,3
Verboten! ,1959,"Fuller, Samuel ",USA ,10.7,22,20,13,56,77,64,53,68,155,28
"Verdun, visions d'histoire ",1928,"Poirier, Léon ",FRA ,6.4,8,15,28,23,17,14,37,70,231,109
"Verkaufte Braut, Die ",1932,"Ophuls, Max ",GER ,8,0,0,0,6,21,61,103,105,113,53
"Verliebte Firma, Die ",1931,"Ophuls, Max ",GER ,10,0,0,0,8,28,51,132,86,148,46
"Verlorene Schuh, der ",1923,"Berger, Ludwig ",GER ,5,0,0,0,4,4,6,48,118,301,20
"Vertige, le ",1926,"L'Herbier, Marcel ",FRA ,6,28,13,13,28,70,84,80,57,161,20
Vertigo ,1958,"Hitchcock, Alfred ",USA ,6.7,57,25,8,15,113,104,84,56,92,35
Victory ,1919,"Tourneur, Maurice ",USA ,7.5,0,0,6,8,6,90,129,158,90,19
Violettes Impériales ,1924,"Roussell, Henri ",FRA ,7,10,0,0,3,48,83,86,139,130,11
Waltzes from Vienna ,1934,"Hitchcock, Alfred ",BRI ,10,18,6,6,19,49,42,79,126,186,0
"Walzertraum, Ein ",1925,"Berger, Ludwig ",GER ,6.5,0,0,0,9,48,89,112,124,125,2
Wandas Trick ,,,GER ,9,0,0,9,9,27,24,24,306,108,0
Wasser für Canitoga ,1939,"Selpin, Herbert ",GER ,13.5,0,0,0,8,35,102,123,116,87,24
Weekend ,1968,"Godard, Jean-Luc ",FRA ,0,0,0,0,23,52,23,42,49,98,212
Werther ,1938,"Ophuls, Max ",FRA ,17.5,19,0,0,10,34,43,72,91,180,71
West of Zanzibar ,1928,"Browning, Tod ",USA ,4,0,0,2,15,51,64,121,89,76,21
What's-His-Name ,1914,"DeMille, Cecil B. ",USA ,24,10,11,6,34,0,3,28,170,265,0
While the City Sleeps ,1956,"Lang, Fritz ",USA ,11,0,0,0,28,78,137,106,82,61,7
"Whispering Chorus, The ",1918,"De Mille, Cecil B. ",USA ,9.5,0,0,11,42,13,31,84,234,95,2
Why Change Your Wife? ,1920,"DeMille, Cecil B. ",USA ,9,19,21,14,40,20,61,152,165,60,2
"Winning of Barbara Worth, The ",1926,"King, Henry ",USA ,5,0,0,4,3,59,76,78,49,135,100
Winter Kills ,1979,William Richert ,USA ,6.1,63,7,6,60,145,86,56,61,71,20
Wise Blood ,1979,John Huston ,USA ,9.8,65,13,6,44,176,85,67,58,60,9
Without Limit ,1921,"Baker, George D. ",USA ,6.8,12,7,4,18,78,85,49,110,160,0
"Woman Eternal, The ",1918,"Ince, Ralph ",USA ,7,0,0,2,3,11,40,104,101,211,29
"Woman God Forgot, The ",1917,"De Mille, Cecil B. ",USA ,10,0,0,2,6,22,15,42,154,238,23
"Woman in the Window, The ",1945,"Lang, Fritz ",USA ,11.5,0,0,0,17,62,94,139,82,101,5
"Wonderful Story, The ",1923,"Cutts, Graham ",BRI ,6,15,0,0,22,66,60,88,122,128,9
"Wrong Man, The ",1957,"Hitchcock, Alfred ",USA ,7.5,52,22,8,31,127,150,75,63,51,4
Wuthering Heights ,1939,"Wyler, William ",USA ,10.8,36,3,4,16,89,62,77,80,171,5
Yoshiwara ,1937,"Ophuls, Max ",FRA ,9,31,0,0,28,34,80,87,80,133,56
You and Me ,1938,"Lang, Fritz ",USA ,7.5,0,0,0,20,75,110,115,94,73,12
You Only Live Once ,1937,"Lang, Fritz ",USA ,8,0,0,0,46,78,72,121,112,68,2
Young and Innocent ,1938,"Hitchcock, Alfred ",BRI ,6.5,24,12,8,27,96,124,75,67,95,16
Young Mr. Lincoln ,1939,"Ford, John ",USA ,11,0,0,0,8,20,70,95,121,145,42
Ziel in den Wolken ,1938,"Liebeneiner, Wolfgang ",GER ,7.7,52,11,9,7,66,117,104,99,66,40
Zur Chronik von Grieshuus ,1925,"Gerlach, Arthur von ",GER ,8,14,0,0,0,7,27,74,123,243,26
Zweimal gelebt ,1912,Mack. Max ,GER ,27,0,0,0,0,0,0,0,83,396,21
